Country and areas,Survey year,Year*,United Nations Region,United Nations Sub-Region,SDG Region,UNICEF Region,UNICEF Sub-Region,WHO Region,World Bank Income Classification,World Bank Region,WHO Global Database Number,WHZ Survey Sample (N),Severe Wasting,Wasting,Overweight,Stunting,Underweight,Source,Short Source,Fieldwork Period,U5 Population ('000s)
-0.6465291755409746,-0.6465291755409746,-0.6465291755409746,-0.1563384650142778,0.18889465071582462,-0.6465291755409746,0.18889465071582462,0.18889465071582462,0.13490994884329546,-0.6465291755409746,0.18889465071582462,-0.6465291755409746,-0.05585704833154653,-0.2884218403665385,0.18889465071582462,0.08775380390483702,0.18889465071582462,0.18889465071582462,-0.6465291755409746,-0.2490441885138102,-0.6465291755409746,-0.13464422167938012
-0.6465291755409746,-0.06278734713022949,-0.07994093299027506,-0.1563384650142778,0.18889465071582462,-0.6465291755409746,0.18889465071582462,0.18889465071582462,0.13490994884329546,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.05588052826661834,0.18889465071582462,0.18889465071582462,-0.33196473624970735,0.18889465071582462,0.18889465071582462,0.18889465071582462,0.18889465071582462,0.18889465071582462,-0.0768434000425598
-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.1563384650142778,0.18889465071582462,-0.6465291755409746,0.18889465071582462,0.18889465071582462,0.13490994884329546,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.02923668398487712,0.18889465071582462,0.18889465071582462,-0.17733158987698047,0.18889465071582462,0.18889465071582462,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.0369978536103736
-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.1563384650142778,0.18889465071582462,-0.6465291755409746,0.18889465071582462,0.18889465071582462,0.13490994884329546,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.05576858797718831,-0.23111755175848822,-0.3331946140534048,-0.44241698365879795,0.18889465071582462,0.18889465071582462,-0.6465291755409746,0.18889465071582462,0.13334529746814497,-0.027458190372501304
-0.6465291755409746,-0.6465291755409746,-0.6465291755409746,-0.6465291755409746,-0.4586394004055686,0.18889465071582462,0.18889465071582462,-0.5434675150750473,-0.6465291755409746,0.16631172015554962,0.18889465071582462,-0.5874924702963759,-0.055876989418968286,-0.11650897454238779,0.18889465071582462,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.27796215507555744,-0.2490441885138102,-0.6465291755409746,-0.20087674921477952
-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.6465291755409746,-0.4586394004055686,0.18889465071582462,0.18889465071582462,-0.5434675150750473,-0.6465291755409746,0.16631172015554962,0.18889465071582462,0.18889465071582462,-0.05582467010313213,0.18889465071582462,0.18889465071582462,-0.1883768146178895,0.059831416313530957,0.006180979371444032,0.18889465071582462,0.18889465071582462,0.18889465071582462,-0.12496427102292741
-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.6465291755409746,-0.4586394004055686,0.18889465071582462,0.18889465071582462,-0.5434675150750473,-0.6465291755409746,0.16631172015554962,0.18889465071582462,0.18889465071582462,-0.05584126319263249,-0.5176389947987393,-0.37372115967482294,-0.5970501300315247,0.18889465071582462,0.18889465071582462,-0.25711499344489064,-0.6465291755409746,0.18889465071582462,-0.05233566756822091
-0.6465291755409746,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.14072737089482476,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.6465291755409746,-0.6465291755409746,-0.0558402150242489,-0.2884218403665385,0.18889465071582462,0.18889465071582462,-0.49427517808952093,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.6465291755409746,-0.34929116352643014
-0.6465291755409746,-0.5150921526854241,-0.5154661252925477,0.18889465071582462,0.18889465071582462,-0.14072737089482476,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.6465291755409746,-0.2776396243900297,-0.05587790634053532,0.18889465071582462,0.18889465071582462,0.18889465071582462,0.18889465071582462,0.11867480393172584,0.18889465071582462,-0.2490441885138102,-0.2905197163234716,-0.35107844364917723
-0.6465291755409746,0.02767361398080943,0.0289403650852931,0.18889465071582462,0.18889465071582462,-0.14072737089482476,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.6465291755409746,0.18889465071582462,-0.0558796601110703,0.18889465071582462,0.11259738778219677,0.18889465071582462,-0.09758522982369967,-0.6465291755409746,-0.6465291755409746,-0.2490441885138102,0.18889465071582462,-0.3547533422846197
-0.6465291755409746,0.18889465071582462,0.18889465071582462,0.18889465071582462,0.18889465071582462,-0.14072737089482476,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.6465291755409746,0.18889465071582462,-0.055877257331047946,0.18889465071582462,0.18889465071582462,0.18889465071582462,-0.31796853441582257,-0.6465291755409746,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,-0.35719149779300463
-0.6465291755409746,0.18889465071582462,0.18889465071582462,0.18889465071582462,0.18889465071582462,-0.14072737089482476,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,0.18889465071582462,-0.6465291755409746,0.18889465071582462,-0.05587197494770642,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,-0.6465291755409746,-0.6465291755409746,-0.6465291755409746,-0.6465291755409746,0.18889465071582462,-0.35736116424613684
